Country,Year,House Price Index,Rent Index,Affordability Ratio,Mortgage Rate (%),Inflation Rate (%),GDP Growth (%),Population Growth (%),Urbanization Rate (%),Construction Index
USA,2015,117.4540119,116.5500014,9.587945476,4.493292421,1.514121163,-0.752043837,-0.796707357,85.98528437,118.0892009
USA,2016,150.8072578,51.4409146,11.72918867,5.662213204,1.880204219,-0.545400262,-0.358084216,69.12726729,111.9805145
USA,2017,123.1945019,70.38603981,8.506676053,2.197469303,2.398940215,0.930894746,0.596244945,83.55527884,85.97390257
USA,2018,131.4234438,91.46901982,3.418053714,4.53772426,1.608406804,-1.479587256,2.32109938,88.96896099,134.6717878
USA,2019,110.4613769,56.83704798,9.158097239,3.700762469,1.293248526,1.961415281,-0.879640176,87.27961206,90.70239853
USA,2020,146.2522284,71.81977533,7.680612191,4.233551397,1.701553961,5.756677022,1.712964882,88.18496825,141.586188
USA,2021,139.7899979,114.5311965,3.796432518,2.479914312,0.793977378,0.602642646,0.360370514,68.14047095,136.2990007
USA,2022,115.6753327,69.66541568,7.884264748,2.204621125,5.714280375,-1.403594851,2.454104278,83.16734308,85.89725452
USA,2023,80.55221171,107.0823,9.361716095,5.14503584,5.513257253,-1.407642786,0.25463005,63.47607179,139.0482741
USA,2024,142.3298127,73.16286174,3.572025153,3.054911609,2.613691593,3.836849427,1.23145115,86.61638228,107.777194
Canada,2015,91.95942459,99.92713511,9.847065438,4.306385988,5.51128667,1.950364771,0.829564903,72.82623055,72.03353014
Canada,2016,90.7891427,52.200043,8.727693701,3.071779905,3.805709493,5.260531791,-0.127477198,72.31148769,130.4440911
Canada,2017,102.8798165,55.38859369,5.607763076,2.306106436,6.54303474,4.464963037,1.216913148,86.14381771,134.2937662
Canada,2018,98.65700589,112.4791299,7.854080177,5.537200776,6.32459345,0.5440278,-0.614818264,66.83805488,104.1686231
Canada,2019,161.8014766,110.2511408,3.062569175,4.053736513,3.21317152,-0.223137516,-0.580471214,70.12845514,145.4327763
Canada,2020,112.3202932,86.31534352,9.32717063,3.318148012,6.816583538,5.69957836,-0.118761965,74.91745518,94.07026479
Canada,2021,108.4840494,52.58208631,8.486079006,4.013395116,0.834611883,0.229171714,2.178930601,67.18685672,81.59158977
Canada,2022,128.945276,118.9955318,5.178497444,4.860677737,5.4505275,-0.098899648,1.54875722,71.03349398,120.5844664
Canada,2023,143.3529711,87.50422789,3.81260793,5.676512478,2.585070422,-0.507851917,-0.857287005,77.7267883,124.2051489
Canada,2024,81.65878289,85.84651408,5.038461977,4.725863952,1.633381789,3.527501905,0.353573712,88.10189966,81.00167553
UK,2015,114.1066351,57.94314649,11.32224256,5.886696767,2.17662058,3.279872368,1.860277701,76.65602435,112.3720463
